corpus_id,venue_class,journal,issn,sample_year,first_publication_date,issue_publication_year,title,doi,pmid,pmcid,topic,topic_basis,document_type,language,publication_status,oa_status,full_text_status,analysis_level,article_type_jats,introduction_mode,results_mode,methods_mode,discussion_mode,title_words,abstract_words,full_text_body_words,pubmed_verification,pubmed_title_similarity,crossref_verification,crossref_title_similarity,crossref_type,pmc_xml_sha256,metadata_sources,text_source,doi_url,pubmed_url,pmc_url
ART-011,flagship_broad,Cell,0092-8674,2023,2023-10-16,2023,Serotonin reduction in post-acute sequelae of viral infection.,10.1016/j.cell.2023.09.013,37848036,PMC11227373,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,8,152,12140,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,637ae57e3a0350fa184ecb1eea9df3032bc3665a8757cb34b9e191503a6fb192,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2023.09.013,https://pubmed.ncbi.nlm.nih.gov/37848036/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11227373/
ART-012,flagship_broad,Cell,0092-8674,2023,2023-12-01,2023,Systematic identification and characterization of genes in the regulation and biogenesis of photosynthetic machinery.,10.1016/j.cell.2023.11.007,38065083,PMC10760936,chemistry_and_catalysis,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,14,154,15109,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,43c4f1037930eeb5ede8755e1e5348047c06409b8d376aa5e592c6fc38eca160,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2023.11.007,https://pubmed.ncbi.nlm.nih.gov/38065083/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10760936/
ART-013,flagship_broad,Cell,0092-8674,2024,2024-04-22,2024,BCAA-nitrogen flux in brown fat controls metabolic health independent of thermogenesis.,10.1016/j.cell.2024.03.030,38653240,PMC11145561,cardiometabolic,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,11,151,11749,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,fd85ba23ee85fcd97066d9f187d2a84789bd4746ecfb5bb97adf26571f2e200c,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2024.03.030,https://pubmed.ncbi.nlm.nih.gov/38653240/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11145561/
ART-014,flagship_broad,Cell,0092-8674,2024,2024-06-24,2024,The primitive endoderm supports lineage plasticity to enable regulative development.,10.1016/j.cell.2024.05.051,38917790,PMC11290322,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,10,154,15472,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,4435e6b61ec0233f56a7eba61f0cd745889deb22582e4115b9d3ad4eaaccd88b,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2024.05.051,https://pubmed.ncbi.nlm.nih.gov/38917790/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11290322/
ART-015,flagship_broad,Cell,0092-8674,2024,2024-09-01,2024,Africa in the era of pathogen genomics: Unlocking data barriers.,10.1016/j.cell.2024.08.032,39303683,PMC12186284,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,inferred_opening_paragraphs,inferred_finding_sections,methods_not_identified,inferred_closing_paragraphs,10,55,2420,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,e7dc6632879ff5a957ca94a084b60019380e6f932cd80995afc7accf2aaa0f94,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2024.08.032,https://pubmed.ncbi.nlm.nih.gov/39303683/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12186284/
ART-016,flagship_broad,Cell,0092-8674,2024,2024-09-26,2024,CSF proteomics identifies early changes in autosomal dominant Alzheimer's disease.,10.1016/j.cell.2024.08.049,39332414,PMC11531390,computation_and_ai,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,10,143,11630,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,9cc783b81c148e33aee70923950516e3a798f3a397228ba7913f4fcc6289d41d,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2024.08.049,https://pubmed.ncbi.nlm.nih.gov/39332414/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11531390/
ART-017,flagship_broad,Cell,0092-8674,2025,2025-02-07,2025,Multiple independent acquisitions of ACE2 usage in MERS-related coronaviruses.,10.1016/j.cell.2024.12.031,39922191,PMC12360793,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,10,169,11090,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,01ae75234eebb4a07d0001cb18646c066e81b994400cbe72f32e1bd5c8615540,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2024.12.031,https://pubmed.ncbi.nlm.nih.gov/39922191/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12360793/
ART-018,flagship_broad,Cell,0092-8674,2025,2025-02-19,2025,Contextual computation by competitive protein dimerization networks.,10.1016/j.cell.2025.01.036,39978343,PMC11973712,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,7,145,10064,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,ce30a82f961628dc7b3c88d1f88314d3a8506294996676c63b96f557387ad6d0,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2025.01.036,https://pubmed.ncbi.nlm.nih.gov/39978343/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11973712/
ART-019,flagship_broad,Cell,0092-8674,2025,2025-06-12,2025,Perturb-Multimodal: A platform for pooled genetic screens with imaging and sequencing in intact mammalian tissue.,10.1016/j.cell.2025.05.022,40513557,PMC12324982,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,15,149,11512,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,b61e7c2d27e1823ac47fec47127a7d39895d4be1dde03e1dbead393a3c469da5,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2025.05.022,https://pubmed.ncbi.nlm.nih.gov/40513557/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12324982/
ART-020,flagship_broad,Cell,0092-8674,2025,2025-09-25,2025,Safe immunosuppression-resistant pan-cancer immunotherapeutics by velcro-like density-dependent targeting of tumor-associated carbohydrate antigens.,10.1016/j.cell.2025.09.001,41005308,PMC12767472,oncology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,12,154,10594,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,419b58a3d25a3f6abb23bf68cd91e5da63db3f42e51cd7f4ed05bab8f8724233,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2025.09.001,https://pubmed.ncbi.nlm.nih.gov/41005308/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12767472/
ART-021,flagship_broad,Cell,0092-8674,2025,2025-12-01,2025,"Stimulant medications affect arousal and reward, not attention networks.",10.1016/j.cell.2025.11.039,41448140,PMC12834599,neuroscience,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,9,152,8767,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,0cad79754b63a5acece2d3da872a2ff5465219af091d7c9565e21f980af16c67,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2025.11.039,https://pubmed.ncbi.nlm.nih.gov/41448140/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12834599/
ART-022,flagship_broad,Cell,0092-8674,2026,2026-01-29,2026,Molecular features of human pathological tau distinguish tauopathy-associated dementias.,10.1016/j.cell.2025.12.036,41616780,PMC13075643,translational_and_clinical,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,9,146,8641,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,f295a04aa76bb264b7134a91c0a788e3a5f2a51f3822ae7e76cfdb6517235269,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2025.12.036,https://pubmed.ncbi.nlm.nih.gov/41616780/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13075643/
ART-023,flagship_broad,Cell,0092-8674,2026,2026-02-27,2026,Citrate clearance is a major function of aconitase 2 in the canonical TCA cycle.,10.1016/j.cell.2026.01.028,41763199,PMC13045649,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,14,152,11607,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,b71796346c7447362627d93b07b1d37816fc7c5312afe371e7e116b7febef67f,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2026.01.028,https://pubmed.ncbi.nlm.nih.gov/41763199/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13045649/
ART-024,flagship_broad,Cell,0092-8674,2026,2026-03-20,2026,The E3-ome gene-centric compendium reveals the human E3 ligase landscape.,10.1016/j.cell.2026.01.029,41864206,PMC13061254,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,13,152,14327,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,1890ae15131e9ebd043f90f611c38b502bf1b00242357f6e2b52c7c33d4d0518,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2026.01.029,https://pubmed.ncbi.nlm.nih.gov/41864206/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13061254/
ART-025,flagship_broad,Cell,0092-8674,2026,2026-04-27,2026,Global genetic interaction network of a human cell maps conserved principles and informs functional interpretation of gene co-essentiality profiles.,10.1016/j.cell.2026.03.044,42049019,PMC13281610,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,19,137,25903,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,cbdc7dea2efb72aef347e52b65a375267b201c4691fef227033915f9ccc05cf3,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2026.03.044,https://pubmed.ncbi.nlm.nih.gov/42049019/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13281610/
ART-026,flagship_broad,Nature,0028-0836,2021,2021-02-03,2021,IgA transcytosis and antigen recognition govern ovarian cancer immunity.,10.1038/s41586-020-03144-0,33536615,PMC7969354,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,inferred_opening_paragraphs,inferred_finding_sections,explicit_methods_section,inferred_closing_paragraphs,9,214,8304,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,88d4de91f39d4d1c11bd38b31ea537824ad20b5b517e29577e86123c56909509,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1038/s41586-020-03144-0,https://pubmed.ncbi.nlm.nih.gov/33536615/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7969354/
ART-027,flagship_broad,Nature,0028-0836,2021,2021-02-03,2021,Dynamic regulation of TFH selection during the germinal centre reaction.,10.1038/s41586-021-03187-x,33536617,PMC7979475,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,inferred_opening_paragraphs,inferred_finding_sections,methods_not_identified,inferred_closing_paragraphs,10,210,4958,verified_exact_doi_title_type_language_abstract,0.993,verified_exact_doi_title_match,1.0,journal-article,7668dd6060eccc26ff4316dff534f3834e57690aed40c8ef845f9a241aa89054,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1038/s41586-021-03187-x,https://pubmed.ncbi.nlm.nih.gov/33536617/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7979475/
ART-028,flagship_broad,Nature,0028-0836,2021,2021-07-21,2021,Transcriptional programs of neoantigen-specific TIL in anti-PD-1-treated lung cancers.,10.1038/s41586-021-03752-4,34290408,PMC8338555,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,inferred_opening_paragraphs,inferred_finding_sections,explicit_methods_section,explicit_discussion_section,11,248,9524,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,67b88ab40e480863e8be8dca2f9646b49206a988fd11160570fdd4091ab0b34d,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1038/s41586-021-03752-4,https://pubmed.ncbi.nlm.nih.gov/34290408/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8338555/
ART-029,flagship_broad,Nature,0028-0836,2021,2021-11-03,2021,B cell-derived GABA elicits IL-10+ macrophages to limit anti-tumour immunity.,10.1038/s41586-021-04082-1,34732892,PMC8599023,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,inferred_opening_paragraphs,inferred_finding_sections,explicit_methods_section,explicit_discussion_section,11,121,8940,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,9db032f2f270710de948cd6ec55f5524feb69ffb604247383e2769c42da39d98,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1038/s41586-021-04082-1,https://pubmed.ncbi.nlm.nih.gov/34732892/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8599023/
