record_id,title,journal,year,article_type,metadata_type,genre_role,doi,metadata_url,doi_url,relevance_domain,selection_reason,verified_date,metadata_source
T011,Machine Learning‐Informed Nano Co‐Assembly Inhibits Fibroblast Activation Protein and Improves Drug Delivery in Fibrotic Tissue,Advanced Materials,2026,Journal article (genre unknown),journal-article,unknown,10.1002/adma.202519805,https://api.crossref.org/works/10.1002%2Fadma.202519805,https://doi.org/10.1002/adma.202519805,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T012,A Machine Learning Assisted Tool and Numerical Model for Analyzing Lipid Nanoparticles,ACS Nano,2025,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.5c09956,https://api.crossref.org/works/10.1021%2Facsnano.5c09956,https://doi.org/10.1021/acsnano.5c09956,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T013,Machine Learning Elucidates Design Features of Plasmid Deoxyribonucleic Acid Lipid Nanoparticles for Cell Type-Preferential Transfection,ACS Nano,2024,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.4c07615,https://api.crossref.org/works/10.1021%2Facsnano.4c07615,https://doi.org/10.1021/acsnano.4c07615,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T014,Toward the Integration of Machine Learning and Molecular Modeling for Designing Drug Delivery Nanocarriers,Advanced Materials,2024,Review,journal-article,review (PubMed publication type verified),10.1002/adma.202407793,https://api.crossref.org/works/10.1002%2Fadma.202407793,https://doi.org/10.1002/adma.202407793,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T015,Towards machine learning for hydrogel drug delivery systems,Trends in Biotechnology,2023,Journal article (genre unknown),journal-article,unknown,10.1016/j.tibtech.2022.09.019,https://api.crossref.org/works/10.1016%2Fj.tibtech.2022.09.019,https://doi.org/10.1016/j.tibtech.2022.09.019,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T016,High-entropy nanoparticles: Synthesis-structure-property relationships and data-driven discovery,Science,2022,Review,journal-article,review (PubMed publication type verified),10.1126/science.abn3103,https://api.crossref.org/works/10.1126%2Fscience.abn3103,https://doi.org/10.1126/science.abn3103,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T017,Designing Polymers with Molecular Weight Distribution-Based Machine Learning,Journal of the American Chemical Society,2025,Journal article (genre unknown),journal-article,unknown,10.1021/jacs.4c16325,https://api.crossref.org/works/10.1021%2Fjacs.4c16325,https://doi.org/10.1021/jacs.4c16325,polymer-materials,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T018,Generating experimentally unrelated target molecule-binding highly functionalized nucleic-acid polymers using machine learning,Nature Communications,2022,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-022-31955-4,https://api.crossref.org/works/10.1038%2Fs41467-022-31955-4,https://doi.org/10.1038/s41467-022-31955-4,polymer-materials,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T019,Machine Learning-Guided Decoding Bioelectronic Signals of Photosynthetic Cyanobacterial Cells by Conducting Polymers,Journal of the American Chemical Society,2025,Journal article (genre unknown),journal-article,unknown,10.1021/jacs.5c13150,https://api.crossref.org/works/10.1021%2Fjacs.5c13150,https://doi.org/10.1021/jacs.5c13150,polymer-materials,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T020,Machine Learning‐Enabled Polymer Discovery for Enhanced Pulmonary siRNA Delivery,Advanced Functional Materials,2025,Journal article (genre unknown),journal-article,unknown,10.1002/adfm.202502805,https://api.crossref.org/works/10.1002%2Fadfm.202502805,https://doi.org/10.1002/adfm.202502805,polymer-materials,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T021,Machine learning enables interpretable discovery of innovative polymers for gas separation membranes,Science Advances,2022,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.abn9545,https://api.crossref.org/works/10.1126%2Fsciadv.abn9545,https://doi.org/10.1126/sciadv.abn9545,polymer-materials,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T022,Machine learning-aided engineering of hydrolases for PET depolymerization,Nature,2022,Journal article (genre unknown),journal-article,unknown,10.1038/s41586-022-04599-z,https://api.crossref.org/works/10.1038%2Fs41586-022-04599-z,https://doi.org/10.1038/s41586-022-04599-z,polymer-materials,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T023,Machine learning for antimicrobial peptide identification and design,Nature Reviews Bioengineering,2024,Review,journal-article,review (journal identity verified),10.1038/s44222-024-00152-x,https://api.crossref.org/works/10.1038%2Fs44222-024-00152-x,https://doi.org/10.1038/s44222-024-00152-x,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T024,Design of target specific peptide inhibitors using generative deep learning and molecular dynamics simulations,Nature Communications,2024,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-024-45766-2,https://api.crossref.org/works/10.1038%2Fs41467-024-45766-2,https://doi.org/10.1038/s41467-024-45766-2,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T025,Tuning Materials-Binding Peptide Sequences toward Gold- and Silver-Binding Selectivity with Bayesian Optimization,ACS Nano,2021,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.1c07298,https://api.crossref.org/works/10.1021%2Facsnano.1c07298,https://doi.org/10.1021/acsnano.1c07298,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T026,Deep learning–guided design of dynamic proteins,Science,2025,Journal article (genre unknown),journal-article,unknown,10.1126/science.adr7094,https://api.crossref.org/works/10.1126%2Fscience.adr7094,https://doi.org/10.1126/science.adr7094,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T027,Enhancing peptide identification in metaproteomics through curriculum learning in deep learning,Nature Communications,2025,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-025-63977-z,https://api.crossref.org/works/10.1038%2Fs41467-025-63977-z,https://doi.org/10.1038/s41467-025-63977-z,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T028,Context-aware geometric deep learning for protein sequence design,Nature Communications,2024,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-024-50571-y,https://api.crossref.org/works/10.1038%2Fs41467-024-50571-y,https://doi.org/10.1038/s41467-024-50571-y,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T029,Machine learning for functional protein design,Nature Biotechnology,2024,Review,journal-article,review (PubMed publication type verified),10.1038/s41587-024-02127-0,https://api.crossref.org/works/10.1038%2Fs41587-024-02127-0,https://doi.org/10.1038/s41587-024-02127-0,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T030,Improving de novo protein binder design with deep learning,Nature Communications,2023,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-023-38328-5,https://api.crossref.org/works/10.1038%2Fs41467-023-38328-5,https://doi.org/10.1038/s41467-023-38328-5,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T031,Deep learning-enabled tissue engineering scaffold classification using cell morphology,Acta Biomaterialia,2026,Journal article (genre unknown),journal-article,unknown,10.1016/j.actbio.2026.07.061,https://api.crossref.org/works/10.1016%2Fj.actbio.2026.07.061,https://doi.org/10.1016/j.actbio.2026.07.061,hydrogels-tissue-bioprinting,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T032,Active Learning‐Accelerated Discovery of Fibrous Hydrogels with Tissue‐Mimetic Viscoelasticity,Advanced Functional Materials,2026,Journal article (genre unknown),journal-article,unknown,10.1002/adfm.75639,https://api.crossref.org/works/10.1002%2Fadfm.75639,https://doi.org/10.1002/adfm.75639,hydrogels-tissue-bioprinting,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T033,AI for Accelerated Materials Discovery: From Generative Design to Autonomous Realization,Chemical Reviews,2026,Review,journal-article,review (journal identity verified),10.1021/acs.chemrev.6c00154,https://api.crossref.org/works/10.1021%2Facs.chemrev.6c00154,https://doi.org/10.1021/acs.chemrev.6c00154,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T034,Self-Driving Laboratories for Chemistry and Materials Science,Chemical Reviews,2024,Review,journal-article,review (PubMed publication type verified),10.1021/acs.chemrev.4c00055,https://api.crossref.org/works/10.1021%2Facs.chemrev.4c00055,https://doi.org/10.1021/acs.chemrev.4c00055,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T035,Autonomous chemistry: Navigating self-driving labs in chemical and material sciences,Matter,2024,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2024.06.003,https://api.crossref.org/works/10.1016%2Fj.matt.2024.06.003,https://doi.org/10.1016/j.matt.2024.06.003,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T036,Autonomous materials synthesis via hierarchical active learning of nonequilibrium phase diagrams,Science Advances,2021,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.abg4930,https://api.crossref.org/works/10.1126%2Fsciadv.abg4930,https://doi.org/10.1126/sciadv.abg4930,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T037,Knowledge-driven autonomous materials research via collaborative multi-agent and robotic system,Matter,2026,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2025.102577,https://api.crossref.org/works/10.1016%2Fj.matt.2025.102577,https://doi.org/10.1016/j.matt.2025.102577,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T038,Materials Informatics: Emergence to Autonomous Discovery in the Age of AI,Advanced Materials,2026,Review,journal-article,review (PubMed publication type verified),10.1002/adma.202515941,https://api.crossref.org/works/10.1002%2Fadma.202515941,https://doi.org/10.1002/adma.202515941,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T039,Performance metrics to unleash the power of self-driving labs in chemistry and materials science,Nature Communications,2024,Review,journal-article,review (PubMed publication type verified),10.1038/s41467-024-45569-5,https://api.crossref.org/works/10.1038%2Fs41467-024-45569-5,https://doi.org/10.1038/s41467-024-45569-5,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T040,An autonomous laboratory for the accelerated synthesis of inorganic materials,Nature,2023,Journal article (genre unknown),journal-article,unknown,10.1038/s41586-023-06734-w,https://api.crossref.org/works/10.1038%2Fs41586-023-06734-w,https://doi.org/10.1038/s41586-023-06734-w,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T041,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning,Chemical Reviews,2020,Review,journal-article,review (PubMed publication type verified),10.1021/acs.chemrev.0c00004,https://api.crossref.org/works/10.1021%2Facs.chemrev.0c00004,https://doi.org/10.1021/acs.chemrev.0c00004,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T042,Emerging materials intelligence ecosystems propelled by machine learning,Nature Reviews Materials,2020,Review,journal-article,review (journal identity verified),10.1038/s41578-020-00255-y,https://api.crossref.org/works/10.1038%2Fs41578-020-00255-y,https://doi.org/10.1038/s41578-020-00255-y,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T043,High-throughput machine learning-aided antibody discovery for cell surface antigens,Cell Systems,2026,Journal article (genre unknown),journal-article,unknown,10.1016/j.cels.2026.101645,https://api.crossref.org/works/10.1016%2Fj.cels.2026.101645,https://doi.org/10.1016/j.cels.2026.101645,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T044,"Machine Learning‐Based Inverse Design for Functional Materials: Methods, Challenges, and Engineering Applications",Advanced Functional Materials,2026,Journal article (genre unknown),journal-article,unknown,10.1002/adfm.75070,https://api.crossref.org/works/10.1002%2Fadfm.75070,https://doi.org/10.1002/adfm.75070,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T045,A high-throughput experimentation platform for data-driven discovery in electrochemistry,Science Advances,2025,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.adu4391,https://api.crossref.org/works/10.1126%2Fsciadv.adu4391,https://doi.org/10.1126/sciadv.adu4391,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T046,Has generative artificial intelligence solved inverse materials design?,Matter,2024,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2024.05.017,https://api.crossref.org/works/10.1016%2Fj.matt.2024.05.017,https://doi.org/10.1016/j.matt.2024.05.017,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T047,Machine learning-aided generative molecular design,Nature Machine Intelligence,2024,Journal article (genre unknown),journal-article,unknown,10.1038/s42256-024-00843-5,https://api.crossref.org/works/10.1038%2Fs42256-024-00843-5,https://doi.org/10.1038/s42256-024-00843-5,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T048,Rapid inverse design of metamaterials based on prescribed mechanical behavior through machine learning,Nature Communications,2023,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-023-40854-1,https://api.crossref.org/works/10.1038%2Fs41467-023-40854-1,https://doi.org/10.1038/s41467-023-40854-1,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T049,Machine learning predicts the functional composition of the protein corona and the cellular recognition of nanoparticles,Proceedings of the National Academy of Sciences,2020,Journal article (genre unknown),journal-article,unknown,10.1073/pnas.1919755117,https://api.crossref.org/works/10.1073%2Fpnas.1919755117,https://doi.org/10.1073/pnas.1919755117,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T050,Inverse design of soft materials via a deep learning–based evolutionary strategy,Science Advances,2022,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.abj6731,https://api.crossref.org/works/10.1126%2Fsciadv.abj6731,https://doi.org/10.1126/sciadv.abj6731,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T051,Accelerating materials discovery with Bayesian optimization and graph deep learning,Materials Today,2021,Journal article (genre unknown),journal-article,unknown,10.1016/j.mattod.2021.08.012,https://api.crossref.org/works/10.1016%2Fj.mattod.2021.08.012,https://doi.org/10.1016/j.mattod.2021.08.012,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T052,Rational Design of Safer Inorganic Nanoparticles via Mechanistic Modeling-Informed Machine Learning,ACS Nano,2025,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.5c03590,https://api.crossref.org/works/10.1021%2Facsnano.5c03590,https://doi.org/10.1021/acsnano.5c03590,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T053,Toward Resolving Heterogeneous Mixtures of Nanocarriers in Drug Delivery Systems through Light Scattering and Machine Learning,ACS Nano,2025,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.4c12963,https://api.crossref.org/works/10.1021%2Facsnano.4c12963,https://doi.org/10.1021/acsnano.4c12963,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T054,A large-scale machine learning analysis of inorganic nanoparticles in preclinical cancer research,Nature Nanotechnology,2024,Journal article (genre unknown),journal-article,unknown,10.1038/s41565-024-01673-7,https://api.crossref.org/works/10.1038%2Fs41565-024-01673-7,https://doi.org/10.1038/s41565-024-01673-7,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T055,Accelerating ionizable lipid discovery for mRNA delivery using machine learning and combinatorial chemistry,Nature Materials,2024,Journal article (genre unknown),journal-article,unknown,10.1038/s41563-024-01867-3,https://api.crossref.org/works/10.1038%2Fs41563-024-01867-3,https://doi.org/10.1038/s41563-024-01867-3,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T056,Autonomous and dynamic precursor selection for solid-state materials synthesis,Nature Communications,2023,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-023-42329-9,https://api.crossref.org/works/10.1038%2Fs41467-023-42329-9,https://doi.org/10.1038/s41467-023-42329-9,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T057,Machine learning-driven multifunctional peptide engineering for sustained ocular drug delivery,Nature Communications,2023,Journal article (genre unknown),journal-article,unknown,10.1038/s41467-023-38056-w,https://api.crossref.org/works/10.1038%2Fs41467-023-38056-w,https://doi.org/10.1038/s41467-023-38056-w,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T058,A New Strategy for Microbial Taxonomic Identification through Micro‐Biosynthetic Gold Nanoparticles and Machine Learning,Advanced Materials,2022,Journal article (genre unknown),journal-article,unknown,10.1002/adma.202109365,https://api.crossref.org/works/10.1002%2Fadma.202109365,https://doi.org/10.1002/adma.202109365,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T059,Smart materials: rational design in biosystems via artificial intelligence,Trends in Biotechnology,2022,Review,journal-article,review (PubMed publication type verified),10.1016/j.tibtech.2022.01.005,https://api.crossref.org/works/10.1016%2Fj.tibtech.2022.01.005,https://doi.org/10.1016/j.tibtech.2022.01.005,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
