record_id,title,venue,venue_type,venue_family,year,article_type,stable_id_type,stable_id,doi,official_url,metadata_url,relevance_domain,selection_reason,acceptance_status,verified_date,metadata_source
E011,Deep learning–guided design of dynamic proteins,Science,journal,CNS flagship,2025,Journal article (genre not verified),DOI,10.1126/science.adr7094,10.1126/science.adr7094,https://doi.org/10.1126/science.adr7094,https://api.crossref.org/works/10.1126%2Fscience.adr7094,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E012,Emerging materials intelligence ecosystems propelled by machine learning,Nature Reviews Materials,journal,CNS-family elite specialty,2020,Review,DOI,10.1038/s41578-020-00255-y,10.1038/s41578-020-00255-y,https://doi.org/10.1038/s41578-020-00255-y,https://api.crossref.org/works/10.1038%2Fs41578-020-00255-y,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E013,Autonomous materials systems from active liquid crystals,Nature Reviews Materials,journal,CNS-family elite specialty,2021,Review,DOI,10.1038/s41578-020-00272-x,10.1038/s41578-020-00272-x,https://doi.org/10.1038/s41578-020-00272-x,https://api.crossref.org/works/10.1038%2Fs41578-020-00272-x,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E014,High-throughput platforms for machine learning-guided lipid nanoparticle design,Nature Reviews Materials,journal,CNS-family elite specialty,2025,Review,DOI,10.1038/s41578-025-00831-0,10.1038/s41578-025-00831-0,https://doi.org/10.1038/s41578-025-00831-0,https://api.crossref.org/works/10.1038%2Fs41578-025-00831-0,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E015,Machine learning for antimicrobial peptide identification and design,Nature Reviews Bioengineering,journal,CNS-family elite specialty,2024,Review,DOI,10.1038/s44222-024-00152-x,10.1038/s44222-024-00152-x,https://doi.org/10.1038/s44222-024-00152-x,https://api.crossref.org/works/10.1038%2Fs44222-024-00152-x,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E016,Machine learning for biomaterials design,Nature Reviews Bioengineering,journal,CNS-family elite specialty,2026,Review,DOI,10.1038/s44222-026-00476-w,10.1038/s44222-026-00476-w,https://doi.org/10.1038/s44222-026-00476-w,https://api.crossref.org/works/10.1038%2Fs44222-026-00476-w,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E017,Flexible automation accelerates materials discovery,Nature Materials,journal,CNS-family elite specialty,2022,Journal article (genre not verified),DOI,10.1038/s41563-021-01156-3,10.1038/s41563-021-01156-3,https://doi.org/10.1038/s41563-021-01156-3,https://api.crossref.org/works/10.1038%2Fs41563-021-01156-3,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E018,Accelerating ionizable lipid discovery for mRNA delivery using machine learning and combinatorial chemistry,Nature Materials,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s41563-024-01867-3,10.1038/s41563-024-01867-3,https://doi.org/10.1038/s41563-024-01867-3,https://api.crossref.org/works/10.1038%2Fs41563-024-01867-3,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E019,Architectured soft materials as autonomous microrobots,Nature Materials,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s41563-024-02051-3,10.1038/s41563-024-02051-3,https://doi.org/10.1038/s41563-024-02051-3,https://api.crossref.org/works/10.1038%2Fs41563-024-02051-3,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E020,Lipid discovery for mRNA delivery guided by machine learning,Nature Materials,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s41563-024-01934-9,10.1038/s41563-024-01934-9,https://doi.org/10.1038/s41563-024-01934-9,https://api.crossref.org/works/10.1038%2Fs41563-024-01934-9,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E021,Accelerated data-driven materials science with the Materials Project,Nature Materials,journal,CNS-family elite specialty,2025,Review,DOI,10.1038/s41563-025-02272-0,10.1038/s41563-025-02272-0,https://doi.org/10.1038/s41563-025-02272-0,https://api.crossref.org/works/10.1038%2Fs41563-025-02272-0,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E022,Artificial intelligence-driven approaches for materials design and discovery,Nature Materials,journal,CNS-family elite specialty,2026,Review,DOI,10.1038/s41563-025-02403-7,10.1038/s41563-025-02403-7,https://doi.org/10.1038/s41563-025-02403-7,https://api.crossref.org/works/10.1038%2Fs41563-025-02403-7,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E023,Artificial intelligence-guided design of LNPs for in vivo targeted mRNA delivery via analysis of the spatial conformation of ionizable lipids,Nature Biomedical Engineering,journal,CNS-family elite specialty,2026,Journal article (genre not verified),DOI,10.1038/s41551-026-01640-8,10.1038/s41551-026-01640-8,https://doi.org/10.1038/s41551-026-01640-8,https://api.crossref.org/works/10.1038%2Fs41551-026-01640-8,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E024,A multimodal machine learning model for the stratification of breast cancer risk,Nature Biomedical Engineering,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s41551-024-01302-7,10.1038/s41551-024-01302-7,https://doi.org/10.1038/s41551-024-01302-7,https://api.crossref.org/works/10.1038%2Fs41551-024-01302-7,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E025,Materializing artificial intelligence,Nature Machine Intelligence,journal,CNS-family elite specialty,2020,Journal article (genre not verified),DOI,10.1038/s42256-020-00262-2,10.1038/s42256-020-00262-2,https://doi.org/10.1038/s42256-020-00262-2,https://api.crossref.org/works/10.1038%2Fs42256-020-00262-2,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E026,Experimental discovery of structure–property relationships in ferroelectric materials via active learning,Nature Machine Intelligence,journal,CNS-family elite specialty,2022,Journal article (genre not verified),DOI,10.1038/s42256-022-00460-0,10.1038/s42256-022-00460-0,https://doi.org/10.1038/s42256-022-00460-0,https://api.crossref.org/works/10.1038%2Fs42256-022-00460-0,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E027,Machine learning-aided generative molecular design,Nature Machine Intelligence,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s42256-024-00843-5,10.1038/s42256-024-00843-5,https://doi.org/10.1038/s42256-024-00843-5,https://api.crossref.org/works/10.1038%2Fs42256-024-00843-5,molecular-and-chemical-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E028,Deep learning using tumor HLA peptide mass spectrometry datasets improves neoantigen identification,Nature Biotechnology,journal,CNS-family elite specialty,2019,Journal article (genre not verified),DOI,10.1038/nbt.4313,10.1038/nbt.4313,https://doi.org/10.1038/nbt.4313,https://api.crossref.org/works/10.1038%2Fnbt.4313,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E029,Machine learning for functional protein design,Nature Biotechnology,journal,CNS-family elite specialty,2024,Review,DOI,10.1038/s41587-024-02127-0,10.1038/s41587-024-02127-0,https://doi.org/10.1038/s41587-024-02127-0,https://api.crossref.org/works/10.1038%2Fs41587-024-02127-0,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E030,Machine learning for nanoplasmonics,Nature Nanotechnology,journal,CNS-family elite specialty,2023,Review,DOI,10.1038/s41565-022-01284-0,10.1038/s41565-022-01284-0,https://doi.org/10.1038/s41565-022-01284-0,https://api.crossref.org/works/10.1038%2Fs41565-022-01284-0,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E031,A large-scale machine learning analysis of inorganic nanoparticles in preclinical cancer research,Nature Nanotechnology,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s41565-024-01673-7,10.1038/s41565-024-01673-7,https://doi.org/10.1038/s41565-024-01673-7,https://api.crossref.org/works/10.1038%2Fs41565-024-01673-7,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E032,Deep learning to design nuclear-targeting abiotic miniproteins,Nature Chemistry,journal,CNS-family elite specialty,2021,Journal article (genre not verified),DOI,10.1038/s41557-021-00766-3,10.1038/s41557-021-00766-3,https://doi.org/10.1038/s41557-021-00766-3,https://api.crossref.org/works/10.1038%2Fs41557-021-00766-3,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E033,High-throughput and proteome-wide discovery of endogenous biomolecular condensates,Nature Chemistry,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1038/s41557-024-01485-1,10.1038/s41557-024-01485-1,https://doi.org/10.1038/s41557-024-01485-1,https://api.crossref.org/works/10.1038%2Fs41557-024-01485-1,molecular-and-chemical-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E034,High throughput discovery of functional protein modifications by Hotspot Thermal Profiling,Nature Methods,journal,CNS-family elite specialty,2019,Journal article (genre not verified),DOI,10.1038/s41592-019-0499-3,10.1038/s41592-019-0499-3,https://doi.org/10.1038/s41592-019-0499-3,https://api.crossref.org/works/10.1038%2Fs41592-019-0499-3,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E035,Prosit: proteome-wide prediction of peptide tandem mass spectra by deep learning,Nature Methods,journal,CNS-family elite specialty,2019,Journal article (genre not verified),DOI,10.1038/s41592-019-0426-7,10.1038/s41592-019-0426-7,https://doi.org/10.1038/s41592-019-0426-7,https://api.crossref.org/works/10.1038%2Fs41592-019-0426-7,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E036,Machine learning–assisted molecular design and efficiency prediction for high-performance organic photovoltaic materials,Science Advances,journal,CNS-family elite specialty,2019,Journal article (genre not verified),DOI,10.1126/sciadv.aay4275,10.1126/sciadv.aay4275,https://doi.org/10.1126/sciadv.aay4275,https://api.crossref.org/works/10.1126%2Fsciadv.aay4275,molecular-and-chemical-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E037,Self-driving laboratory for accelerated discovery of thin-film materials,Science Advances,journal,CNS-family elite specialty,2020,Journal article (genre not verified),DOI,10.1126/sciadv.aaz8867,10.1126/sciadv.aaz8867,https://doi.org/10.1126/sciadv.aaz8867,https://api.crossref.org/works/10.1126%2Fsciadv.aaz8867,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E038,Accelerated discovery of 3D printing materials using data-driven multiobjective optimization,Science Advances,journal,CNS-family elite specialty,2021,Journal article (genre not verified),DOI,10.1126/sciadv.abf7435,10.1126/sciadv.abf7435,https://doi.org/10.1126/sciadv.abf7435,https://api.crossref.org/works/10.1126%2Fsciadv.abf7435,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E039,Autonomous materials synthesis via hierarchical active learning of nonequilibrium phase diagrams,Science Advances,journal,CNS-family elite specialty,2021,Journal article (genre not verified),DOI,10.1126/sciadv.abg4930,10.1126/sciadv.abg4930,https://doi.org/10.1126/sciadv.abg4930,https://api.crossref.org/works/10.1126%2Fsciadv.abg4930,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E040,Inverse design of soft materials via a deep learning–based evolutionary strategy,Science Advances,journal,CNS-family elite specialty,2022,Journal article (genre not verified),DOI,10.1126/sciadv.abj6731,10.1126/sciadv.abj6731,https://doi.org/10.1126/sciadv.abj6731,https://api.crossref.org/works/10.1126%2Fsciadv.abj6731,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E041,Machine learning enables interpretable discovery of innovative polymers for gas separation membranes,Science Advances,journal,CNS-family elite specialty,2022,Journal article (genre not verified),DOI,10.1126/sciadv.abn9545,10.1126/sciadv.abn9545,https://doi.org/10.1126/sciadv.abn9545,https://api.crossref.org/works/10.1126%2Fsciadv.abn9545,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E042,A high-throughput experimentation platform for data-driven discovery in electrochemistry,Science Advances,journal,CNS-family elite specialty,2025,Journal article (genre not verified),DOI,10.1126/sciadv.adu4391,10.1126/sciadv.adu4391,https://doi.org/10.1126/sciadv.adu4391,https://api.crossref.org/works/10.1126%2Fsciadv.adu4391,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E043,Extreme nonlinearity by layered materials through inverse design,Science Advances,journal,CNS-family elite specialty,2025,Journal article (genre not verified),DOI,10.1126/sciadv.adr6925,10.1126/sciadv.adr6925,https://doi.org/10.1126/sciadv.adr6925,https://api.crossref.org/works/10.1126%2Fsciadv.adr6925,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E044,Real-time experiment-theory closed-loop interaction for autonomous materials science,Science Advances,journal,CNS-family elite specialty,2025,Journal article (genre not verified),DOI,10.1126/sciadv.adu7426,10.1126/sciadv.adu7426,https://doi.org/10.1126/sciadv.adu7426,https://api.crossref.org/works/10.1126%2Fsciadv.adu7426,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E045,Bridging electron microscopy and materials analysis with an autonomous agentic platform,Science Advances,journal,CNS-family elite specialty,2026,Journal article (genre not verified),DOI,10.1126/sciadv.aed0583,10.1126/sciadv.aed0583,https://doi.org/10.1126/sciadv.aed0583,https://api.crossref.org/works/10.1126%2Fsciadv.aed0583,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E046,ChemOS: Orchestrating autonomous experimentation,Science Robotics,journal,CNS-family elite specialty,2018,Journal article (genre not verified),DOI,10.1126/scirobotics.aat5559,10.1126/scirobotics.aat5559,https://doi.org/10.1126/scirobotics.aat5559,https://api.crossref.org/works/10.1126%2Fscirobotics.aat5559,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E047,Using machine learning and robotics to discover plastic substitutes,Science Robotics,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1126/scirobotics.adp7392,10.1126/scirobotics.adp7392,https://doi.org/10.1126/scirobotics.adp7392,https://api.crossref.org/works/10.1126%2Fscirobotics.adp7392,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E048,Bioinspired design of a tissue-engineered ray with machine learning,Science Robotics,journal,CNS-family elite specialty,2025,Journal article (genre not verified),DOI,10.1126/scirobotics.adr6472,10.1126/scirobotics.adr6472,https://doi.org/10.1126/scirobotics.adr6472,https://api.crossref.org/works/10.1126%2Fscirobotics.adr6472,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E049,Data-Driven Materials Discovery from Large Chemistry Spaces,Matter,journal,CNS-family elite specialty,2020,Journal article (genre not verified),DOI,10.1016/j.matt.2020.07.010,10.1016/j.matt.2020.07.010,https://doi.org/10.1016/j.matt.2020.07.010,https://api.crossref.org/works/10.1016%2Fj.matt.2020.07.010,molecular-and-chemical-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E050,Autonomous experimentation systems for materials development: A community perspective,Matter,journal,CNS-family elite specialty,2021,Journal article (genre not verified),DOI,10.1016/j.matt.2021.06.036,10.1016/j.matt.2021.06.036,https://doi.org/10.1016/j.matt.2021.06.036,https://api.crossref.org/works/10.1016%2Fj.matt.2021.06.036,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E051,Human-in-the-loop for Bayesian autonomous materials phase mapping,Matter,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1016/j.matt.2024.01.005,10.1016/j.matt.2024.01.005,https://doi.org/10.1016/j.matt.2024.01.005,https://api.crossref.org/works/10.1016%2Fj.matt.2024.01.005,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E052,Has generative artificial intelligence solved inverse materials design?,Matter,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1016/j.matt.2024.05.017,10.1016/j.matt.2024.05.017,https://doi.org/10.1016/j.matt.2024.05.017,https://api.crossref.org/works/10.1016%2Fj.matt.2024.05.017,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E053,Autonomous chemistry: Navigating self-driving labs in chemical and material sciences,Matter,journal,CNS-family elite specialty,2024,Journal article (genre not verified),DOI,10.1016/j.matt.2024.06.003,10.1016/j.matt.2024.06.003,https://doi.org/10.1016/j.matt.2024.06.003,https://api.crossref.org/works/10.1016%2Fj.matt.2024.06.003,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
