corpus_id,persistent_id,doi,pmid,pmcid,title,publication_date,year,journal,journal_abbreviation,venue_stratum,venue_selection_rationale,article_subtype,topic,language,publication_status,citation_count_at_access,selection_score,selection_terms,oa_status,actual_analysis_text_level,abstract_available,full_text_fetch_status,full_text_license_category,explicit_methods_or_search_strategy,search_evidence_locator,search_feature_confidence,databases_reporting_status,databases_reported,search_date_limits_status,search_date_limits_detail,search_terms_or_keyword_list_reported,complete_search_string_status,search_terms_summary,supplementary_search_string_reported,inclusion_exclusion_reported,screening_process_reported,deduplication_reported,prisma_reported,flow_diagram_reported,structural_writing_features,title_word_count,title_has_colon,title_is_question,abstract_word_count,abstract_sentence_count,abstract_first_person,abstract_why_now_signal,abstract_problem_or_gap_move,abstract_scope_signpost_move,abstract_synthesis_or_comparison_move,abstract_boundary_or_limitation_move,abstract_outlook_or_implication_move,fulltext_top_level_section_count,fulltext_figure_count,fulltext_table_count,fulltext_box_count,fulltext_introduction_heading,fulltext_conclusion_or_outlook_heading,fulltext_limitations_or_challenges_heading,fulltext_organization_logic,metadata_sources,crossref_status,crossref_type,crossref_title_similarity,crossref_title_match,doi_url,pubmed_url,full_text_url,access_date,coding_limit
R011,doi:10.1038/s41586-021-03453-y,10.1038/s41586-021-03453-y,34135518,,The rise of intelligent matter.,2021-06-16,2021,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,223,19.3039,artificial intelligence; computational; robotic; materials,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost; body_structure=not_assessed,5,no,no,168,6,yes,no,no,yes,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-021-03453-y,https://pubmed.ncbi.nlm.nih.gov/34135518/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R012,doi:10.1038/s41586-022-04456-z,10.1038/s41586-022-04456-z,35650353,,The road to fully programmable protein catalysis.,2022-06-01,2022,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,247,22.3378,deep learning; computational; protein design; chemistry; biotechnology,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost; body_structure=not_assessed,7,no,no,185,8,yes,yes,no,yes,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-022-04456-z,https://pubmed.ncbi.nlm.nih.gov/35650353/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R013,doi:10.1038/s41586-023-05881-4,10.1038/s41586-023-05881-4,37045921,,Foundation models for generalist medical artificial intelligence.,2023-04-12,2023,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,990,20.7996,artificial intelligence; foundation model; omics; imaging,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap+scope_signpost; body_structure=not_assessed,7,no,no,164,7,yes,yes,yes,yes,no,yes,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-023-05881-4,https://pubmed.ncbi.nlm.nih.gov/37045921/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R014,doi:10.1038/s41586-023-06221-2,10.1038/s41586-023-06221-2,37532811,,Scientific discovery in the age of artificial intelligence.,2023-08-02,2023,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,589,21.6267,artificial intelligence; deep learning; generative,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap+scope_signpost+synthesis_or_comparison; body_structure=not_assessed,8,no,no,183,6,yes,no,yes,yes,yes,yes,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-023-06221-2,https://pubmed.ncbi.nlm.nih.gov/37532811/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R015,doi:10.1038/s41586-024-08249-4,10.1038/s41586-024-08249-4,39633192,PMC12007731,Applied body-fluid analysis by wearable devices.,2024-12-04,2024,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,perspective_review_type,AI_computation_and_data,eng,ppublish,123,15.9068,artificial intelligence,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost+outlook_or_implication; body_structure=not_assessed,6,no,no,200,8,yes,yes,no,yes,no,no,yes,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-024-08249-4,https://pubmed.ncbi.nlm.nih.gov/39633192/,https://europepmc.org/articles/PMC12007731,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R016,doi:10.1038/s41586-024-08564-w,10.1038/s41586-024-08564-w,39972226,PMC11987553,Artificial intelligence for modelling infectious disease epidemics.,2025-02-19,2025,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,90,28.8036,artificial intelligence; machine learning; computational; omics,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost+synthesis_or_comparison+outlook_or_implication; body_structure=not_assessed,7,no,no,153,6,yes,yes,no,yes,yes,no,yes,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-024-08564-w,https://pubmed.ncbi.nlm.nih.gov/39972226/,https://europepmc.org/articles/PMC11987553,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R017,doi:10.1038/s41586-025-09122-8,10.1038/s41586-025-09122-8,40702261,,Integrated biotechnological and AI innovations for crop improvement.,2025-07-23,2025,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,53,21.8297,artificial intelligence; high-throughput; protein design; omics,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost+outlook_or_implication; body_structure=not_assessed,8,no,no,182,8,yes,yes,no,yes,no,no,yes,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-025-09122-8,https://pubmed.ncbi.nlm.nih.gov/40702261/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R018,doi:10.1038/s41586-025-09384-2,10.1038/s41586-025-09384-2,40903603,,Training of physical neural networks.,2025-09-03,2025,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,18,22.4815,artificial intelligence; deep learning; neural network,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap; body_structure=not_assessed,5,no,no,223,10,yes,yes,yes,no,no,yes,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-025-09384-2,https://pubmed.ncbi.nlm.nih.gov/40903603/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R019,doi:10.1038/s41586-026-10221-3,10.1038/s41586-026-10221-3,41882132,,Towards intelligent and miniaturized drug delivery devices.,2026-03-25,2026,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,10,20.7993,artificial intelligence; drug delivery; materials; biotechnology; cancer,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap+scope_signpost+synthesis_or_comparison; body_structure=not_assessed,7,no,no,124,5,yes,no,yes,yes,yes,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-026-10221-3,https://pubmed.ncbi.nlm.nih.gov/41882132/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R020,doi:10.1038/s41586-026-10574-9,10.1038/s41586-026-10574-9,42387167,,Towards the construction of a virtual yeast.,2026-07-01,2026,Nature,Nature,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,1,20.731,artificial intelligence; generative; computational; synthetic biology,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=not_machine_detected; body_structure=not_assessed,7,no,no,161,5,yes,no,no,no,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1038/s41586-026-10574-9,https://pubmed.ncbi.nlm.nih.gov/42387167/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R021,doi:10.1126/science.abg7285,10.1126/science.abg7285,34516844,PMC8916593,Architectures of neuronal circuits.,2021-09-03,2021,Science,Science,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,292,16.1934,artificial intelligence,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap+synthesis_or_comparison; body_structure=not_assessed,4,no,no,108,4,no,no,yes,no,yes,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1126/science.abg7285,https://pubmed.ncbi.nlm.nih.gov/34516844/,https://europepmc.org/articles/PMC8916593,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R022,doi:10.1126/science.abh1657,10.1126/science.abh1657,34326233,PMC8867839,Strategies for durable β cell replacement in type 1 diabetes.,2021-07-01,2021,Science,Science,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,biomaterials_nanomedicine_delivery,eng,ppublish,111,18.3728,biomaterial; therapeutic; cell biology,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=synthesis_or_comparison; body_structure=not_assessed,10,no,no,125,6,yes,yes,no,no,yes,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1126/science.abh1657,https://pubmed.ncbi.nlm.nih.gov/34326233/,https://europepmc.org/articles/PMC8867839,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R023,doi:10.1126/science.add9667,10.1126/science.add9667,36423303,PMC10584033,Engineering bacteria as interactive cancer therapies.,2022-11-24,2022,Science,Science,CNS_flagship,broad-selective flagship; cross-disciplinary review genre,review_narrative_or_unspecified,bioengineering_regeneration_synthetic_biology,eng,ppublish,328,16.232,synthetic biology; therapeutic; cancer,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost; body_structure=not_assessed,6,no,no,105,5,yes,yes,no,yes,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1126/science.add9667,https://pubmed.ncbi.nlm.nih.gov/36423303/,https://europepmc.org/articles/PMC10584033,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
