corpus_id,venue,year,track,paper_id,doi,title,authors,topic,canonical_url,pdf_url,official_source,language,sampling_frame_size,sampling_rank,sample_order_within_venue,title_word_count,abstract_word_count,abstract_actions,pdf_retrieval_status,full_text_extraction_status,analysis_text_level,pdf_pages,pdf_bytes,pdf_sha256,full_text_word_count,full_text_char_count,structural_analysis_char_window,intro_contribution_list,related_work_position,method_narrative,experiments_section,baseline_language,ablation_reported,uncertainty_reporting,limitations_section,ethics_or_impact_section,checklist_present,figure_caption_count,table_caption_count,conclusion_section,conclusion_moves,issue,pages,publication_date_raw,detail_status,pdf_error,accessed_date,notes
CONF-011,AAAI,2025,AAAI Technical Track on Computer Vision VI,AAAI-25-32736,10.1609/aaai.v39i7.32736,Free-Moving Object Reconstruction and Pose Estimation with Virtual Camera,Haixin Shi; Yinlin Hu; Daniel Koguciuk; Juan-Ting Lin; Mathieu Salzmann; David Ferstl,computer_vision_multimodal,https://ojs.aaai.org/index.php/AAAI/article/view/32736,https://ojs.aaai.org/index.php/AAAI/article/download/32736/34891,https://ojs.aaai.org/index.php/AAAI/issue/view/630,English,2903,763,11,9,141,context_or_problem;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,4968992,8c1d88bf3a87f31fa2f65ef3f2badfb01edacecbf857cb9e3091c3f9e8e0cb31,6596,56171,56171,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,4,3,False,not_detected,39(7),6860-6868,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-012,AAAI,2025,AAAI Technical Track on Computer Vision VI,AAAI-25-32808,10.1609/aaai.v39i7.32808,RealisHuman: A Two-Stage Approach for Refining Malformed Human Parts in Generated Images,Benzhi Wang; Jingkai Zhou; Jingqi Bai; Yang Yang; Weihua Chen; Fan Wang; Zhen Lei,generative_models,https://ojs.aaai.org/index.php/AAAI/article/view/32808,https://ojs.aaai.org/index.php/AAAI/article/download/32808/34963,https://ojs.aaai.org/index.php/AAAI/issue/view/630,English,2903,835,12,12,130,context_or_problem;gap_or_contrast;method_or_resource,downloaded_official_pdf,success,full_text_extracted,9,17686865,c211e8faf60f00dcd004b9604d008e53fdb7a4de56853c2f18662273ee6c5199,5650,50448,50448,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,2,0,True,recapitulates_contribution;summarizes_evidence;states_boundary_or_future_work,39(7),7509-7517,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-013,AAAI,2025,AAAI Technical Track on Computer Vision VII,AAAI-25-32881,10.1609/aaai.v39i8.32881,Target Scanpath-Guided 360-Degree Image Enhancement,Yujia Wang; Fang-Lue Zhang; Neil A. Dodgson,computer_vision_multimodal,https://ojs.aaai.org/index.php/AAAI/article/view/32881,https://ojs.aaai.org/index.php/AAAI/article/download/32881/35036,https://ojs.aaai.org/index.php/AAAI/issue/view/631,English,2903,908,13,5,188,context_or_problem;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,12939715,e96497e47bcd90a2255bf4bd7a591f00385f83284b3b993800b845e2082f66b5,6087,60372,60372,not_detected,no_dedicated_heading_detected,dedicated_method_or_approach,False,True,True,False,False,False,False,2,2,False,not_detected,39(8),8169-8177,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-014,AAAI,2025,AAAI Technical Track on Computer Vision VII,AAAI-25-32953,10.1609/aaai.v39i8.32953,FR²Seg: Continual Segmentation Across Multiple Sites via Fourier Style Replay and Adaptive Consistency Regularization,Cheng Xu; Weiwen Zhang; Hongrui Zhang; Xuemiao Xu; Huaidong Zhang; Jing Zou; Jing Qin,computer_vision_multimodal,https://ojs.aaai.org/index.php/AAAI/article/view/32953,https://ojs.aaai.org/index.php/AAAI/article/download/32953/35108,https://ojs.aaai.org/index.php/AAAI/issue/view/631,English,2903,980,14,13,174,gap_or_contrast;method_or_resource;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,3159817,75d9ead5d1a68d8f6bea9c0c26117b71e9528b6996cd79f1e9ac96815298fca0,5531,60216,60216,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,4,2,True,summarizes_evidence;states_implication,39(8),8815-8823,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-015,AAAI,2025,AAAI Technical Track on Computer Vision VIII,AAAI-25-33026,10.1609/aaai.v39i9.33026,Personalized Lip Reading: Adapting to Your Unique Lip Movements with Vision and Language,Jeong Hun Yeo; Chae Won Kim; Hyunjun Kim; Hyeongseop Rha; Seunghee Han; Wen-Huang Cheng; Yong Man Ro,language_models_nlp,https://ojs.aaai.org/index.php/AAAI/article/view/33026,https://ojs.aaai.org/index.php/AAAI/article/download/33026/35181,https://ojs.aaai.org/index.php/AAAI/issue/view/632,English,2903,1053,15,13,245,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,237092,87d6e4aa10e68dcf2f98b928801451e2597398a6b25c50ff4e7b5b904ff23efc,6795,67622,67622,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,False,False,False,False,False,1,4,False,not_detected,39(9),9472-9480,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-016,AAAI,2025,AAAI Technical Track on Computer Vision IX,AAAI-25-33098,10.1609/aaai.v39i10.33098,Point Cloud Mamba: Point Cloud Learning via State Space Model,Tao Zhang; Haobo Yuan; Lu Qi; Jiangning Zhang; Qianyu Zhou; Shunping Ji; Shuicheng Yan; Xiangtai Li,computer_vision_multimodal,https://ojs.aaai.org/index.php/AAAI/article/view/33098,https://ojs.aaai.org/index.php/AAAI/article/download/33098/35253,https://ojs.aaai.org/index.php/AAAI/issue/view/633,English,2903,1125,16,10,232,method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,10,1402842,7c0525d44c577adca56cf8dc7e3f8a37c88a4e90d5a8e71177036fd4f32d550c,6539,62319,62319,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,1,3,True,summarizes_evidence,39(10),10121-10130,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-017,AAAI,2025,AAAI Technical Track on Computer Vision IX,AAAI-25-33171,10.1609/aaai.v39i10.33171,Joint Class-level and Instance-level Relationship Modeling for Novel Class Discovery,Jiaying Zhou; Qingchao Chen,data_benchmarks_evaluation,https://ojs.aaai.org/index.php/AAAI/article/view/33171,https://ojs.aaai.org/index.php/AAAI/article/download/33171/35326,https://ojs.aaai.org/index.php/AAAI/issue/view/633,English,2903,1198,17,10,155,gap_or_contrast;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,2996454,1dce59d4f6c2a1beaf14ebde74c7f42d9b92d17a42c014cd5c891e7714d85143,5947,57214,57214,not_detected,no_dedicated_heading_detected,dedicated_method_or_approach,False,True,True,True,False,False,False,2,4,False,not_detected,39(10),10779-10787,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-018,AAAI,2025,AAAI Technical Track on Data Mining & Knowledge Management I,AAAI-25-33244,10.1609/aaai.v39i11.33244,Alleviating Performance Disparity in Adversarial Spatiotemporal Graph Learning Under Zero-Inflated Distribution,Songran Bai; Yuheng Ji; Yue Liu; Xingwei Zhang; Xiaolong Zheng; Daniel Dajun Zeng,trustworthy_ai_privacy_fairness,https://ojs.aaai.org/index.php/AAAI/article/view/33244,https://ojs.aaai.org/index.php/AAAI/article/download/33244/35399,https://ojs.aaai.org/index.php/AAAI/issue/view/634,English,2903,1271,18,11,193,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,607904,585647dde7bc328c027768c53536e6b0205badba7649c539249cacb8d5809b3d,6119,67959,67959,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,2,2,True,summarizes_evidence;states_implication,39(11),11436-11444,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-019,AAAI,2025,AAAI Technical Track on Data Mining & Knowledge Management I,AAAI-25-33316,10.1609/aaai.v39i11.33316,Self-Explainable Graph Transformer for Link Sign Prediction,Lu Li; Jiale Liu; Xingyu Ji; Maojun Wang; Zeyu Zhang,graphs_structured_data,https://ojs.aaai.org/index.php/AAAI/article/view/33316,https://ojs.aaai.org/index.php/AAAI/article/download/33316/35471,https://ojs.aaai.org/index.php/AAAI/issue/view/634,English,2903,1343,19,7,254,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,1594250,a8f942f2e8817112d44b56585426aefb040f0b52a048d047858a833cf7e04eea,6284,59435,59435,explicit_list,no_dedicated_heading_detected,dedicated_method_or_approach,False,True,True,True,False,False,False,5,2,True,summarizes_evidence;states_implication,39(11),12084-12092,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-020,AAAI,2025,AAAI Technical Track on Data Mining & Knowledge Management II,AAAI-25-33389,10.1609/aaai.v39i12.33389,Towards S²-Challenges Underlying LLM-Based Augmentation for Personalized News Recommendation,Shicheng Wang; Hengzhu Tang; Li Gao; Shu Guo; Suqi Cheng; Junfeng Wang; Dawei Yin; Tingwen Liu; Lihong Wang,language_models_nlp,https://ojs.aaai.org/index.php/AAAI/article/view/33389,https://ojs.aaai.org/index.php/AAAI/article/download/33389/35544,https://ojs.aaai.org/index.php/AAAI/issue/view/635,English,2903,1416,20,9,236,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,572791,69fc22fdff2779f953926b751a7e3cfb5f13b93e20da3650d2247ae2d76f3142,5863,63012,63012,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,2,5,True,summarizes_evidence;states_boundary_or_future_work;states_implication,39(12),12739-12747,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-021,AAAI,2025,AAAI Technical Track on Data Mining & Knowledge Management II,AAAI-25-33461,10.1609/aaai.v39i12.33461,GRAIN: Multi-Granular and Implicit Information Aggregation Graph Neural Network for Heterophilous Graphs,Songwei Zhao; Yuan Jiang; Zijing Zhang; Yang Yu; Hechang Chen,graphs_structured_data,https://ojs.aaai.org/index.php/AAAI/article/view/33461,https://ojs.aaai.org/index.php/AAAI/article/download/33461/35616,https://ojs.aaai.org/index.php/AAAI/issue/view/635,English,2903,1488,21,12,161,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,1477752,c661295182a13a18b703cffdbf979ad6164e159637c8eab0e9335098ee1f9c0f,6177,56723,56723,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,False,False,False,False,False,2,1,False,not_detected,39(12),13383-13391,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-022,AAAI,2025,AAAI Technical Track on Game Theory and Economic Paradigms,AAAI-25-33534,10.1609/aaai.v39i13.33534,On the Power of Strategic Corpus Enrichment in Content Creation Games,Haya Nachimovsky; Moshe Tennenholtz,theory_optimization,https://ojs.aaai.org/index.php/AAAI/article/view/33534,https://ojs.aaai.org/index.php/AAAI/article/download/33534/35689,https://ojs.aaai.org/index.php/AAAI/issue/view/636,English,2903,1561,22,11,239,gap_or_contrast;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,8,188669,92b5672f8321dade7445781a5236640ac0bd910a96d038df2b7cb207ea8d5830,6171,57608,57608,explicit_prose,no_dedicated_heading_detected,theory_led_without_generic_method_heading,False,True,False,False,False,False,False,2,0,False,not_detected,39(13),14019-14026,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-023,AAAI,2025,AAAI Technical Track on Intelligent Robots,AAAI-25-33606,10.1609/aaai.v39i14.33606,Evolutionary Reinforcement Learning with Parameterized Action Primitives for Diverse Manipulation Tasks,Xianxu Qiu; Haiming Huang; Weiwei Chen; Qiuzhen Lin; Wei-Neng Chen; Fuchun Sun,robotics_embodied_autonomy,https://ojs.aaai.org/index.php/AAAI/article/view/33606,https://ojs.aaai.org/index.php/AAAI/article/download/33606/35761,https://ojs.aaai.org/index.php/AAAI/issue/view/637,English,2903,1633,23,11,169,gap_or_contrast,downloaded_official_pdf,success,full_text_extracted,9,7217561,ee7b6cf0b172943bad929630bddc30fa525c8b4dda1c7912fe853488953ae942,5885,54616,54616,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,False,True,False,False,False,5,2,True,summarizes_evidence;states_boundary_or_future_work,39(14),14655-14663,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-024,AAAI,2025,AAAI Technical Track on Machine Learning I,AAAI-25-33679,10.1609/aaai.v39i15.33679,Bootstrapped Reward Shaping,Jacob Adamczyk; Volodymyr Makarenko; Stas Tiomkin; Rahul V. Kulkarni,reinforcement_learning_agents,https://ojs.aaai.org/index.php/AAAI/article/view/33679,https://ojs.aaai.org/index.php/AAAI/article/download/33679/35834,https://ojs.aaai.org/index.php/AAAI/issue/view/638,English,2903,1706,24,3,124,context_or_problem;gap_or_contrast;method_or_resource,downloaded_official_pdf,success,full_text_extracted,9,1226436,b6dd5ea9cc8dfd21b7fc422b8cba79ead7f74547e5cbc5d75a2bee628345f7f0,5844,57397,57397,not_detected,no_dedicated_heading_detected,theory_led_without_generic_method_heading,False,True,False,True,False,False,False,2,0,False,not_detected,39(15),15302-15310,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-025,AAAI,2025,AAAI Technical Track on Machine Learning I,AAAI-25-33752,10.1609/aaai.v39i15.33752,A Pioneering Neural Network Method for Efficient and Robust Fuel Sloshing Simulation in Aircraft,Yu Chen; Shuai Zheng; Nianyi Wang; Menglong Jin; Yan Chang,graphs_structured_data,https://ojs.aaai.org/index.php/AAAI/article/view/33752,https://ojs.aaai.org/index.php/AAAI/article/download/33752/35907,https://ojs.aaai.org/index.php/AAAI/issue/view/638,English,2903,1779,25,14,181,implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,9591888,d6c5943137d8ea9e020cfa5130a1586ef4704d98279e2dd390a556a794f4b7b1,4921,46390,46390,not_detected,no_dedicated_heading_detected,dedicated_method_or_approach,False,True,True,False,False,False,False,2,2,False,not_detected,39(15),15957-15965,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-026,AAAI,2025,AAAI Technical Track on Machine Learning II,AAAI-25-33824,10.1609/aaai.v39i16.33824,"DUO: Diverse, Uncertain, On-Policy Query Generation and Selection for Reinforcement Learning from Human Feedback",Xuening Feng; Zhaohui Jiang; Timo Kaufmann; Puchen Xu; Eyke Hüllermeier; Paul Weng; Yifei Zhu,reinforcement_learning_agents,https://ojs.aaai.org/index.php/AAAI/article/view/33824,https://ojs.aaai.org/index.php/AAAI/article/download/33824/35979,https://ojs.aaai.org/index.php/AAAI/issue/view/639,English,2903,1851,26,14,174,context_or_problem;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,856971,61748714224711c2be31fb2aade6e39f669eb841ab16a16f726ff3f1dcad4b34,6846,75498,75498,explicit_prose,no_dedicated_heading_detected,preliminaries_then_method_or_analysis,False,True,True,True,False,False,False,3,0,False,not_detected,39(16),16604-16612,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-027,AAAI,2025,AAAI Technical Track on Machine Learning II,AAAI-25-33897,10.1609/aaai.v39i16.33897,Structural Entropy Guided Unsupervised Graph Out-Of-Distribution Detection,Yue Hou; He Zhu; Ruomei Liu; Yingke Su; Jinxiang Xia; Junran Wu; Ke Xu,graphs_structured_data,https://ojs.aaai.org/index.php/AAAI/article/view/33897,https://ojs.aaai.org/index.php/AAAI/article/download/33897/36052,https://ojs.aaai.org/index.php/AAAI/issue/view/639,English,2903,1924,27,7,217,context_or_problem;method_or_resource,downloaded_official_pdf,success,full_text_extracted,9,1481851,b6a69dea1567c2ec24ea0e4da60533228ceef27a114c69e0e644606945710b8a,6577,69440,69440,not_detected,no_dedicated_heading_detected,theory_led_without_generic_method_heading,False,True,True,True,False,False,False,4,2,False,not_detected,39(16),17258-17266,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-028,AAAI,2025,AAAI Technical Track on Machine Learning III,AAAI-25-33969,10.1609/aaai.v39i17.33969,Diffusion-Based Active Learning for Distributed Client Manifolds,Kwang In Kim,trustworthy_ai_privacy_fairness,https://ojs.aaai.org/index.php/AAAI/article/view/33969,https://ojs.aaai.org/index.php/AAAI/article/download/33969/36124,https://ojs.aaai.org/index.php/AAAI/issue/view/640,English,2903,1996,28,7,135,context_or_problem;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,553174,d0508da09fec980dc988b0cb091df05ead1e31e8a1a184043607ac2249dcf672,6224,85863,85863,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,True,False,False,False,3,1,False,not_detected,39(17),17904-17912,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-029,AAAI,2025,AAAI Technical Track on Machine Learning III,AAAI-25-34042,10.1609/aaai.v39i17.34042,Complex-Cycle-Consistent Diffusion Model for Monaural Speech Enhancement,Yi Li; Yang Sun; Plamen P Angelov,generative_models,https://ojs.aaai.org/index.php/AAAI/article/view/34042,https://ojs.aaai.org/index.php/AAAI/article/download/34042/36197,https://ojs.aaai.org/index.php/AAAI/issue/view/640,English,2903,2069,29,7,149,method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,798673,b98283bb15771711e7de4ceb432b2f212ef81d10a14e05f5249ab504f9386106,5340,53729,53729,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,3,3,True,summarizes_evidence;states_boundary_or_future_work,39(17),18557-18565,2025/04/11,official_page_retrieved,,2026-08-30,
